fltno,dest,source,freq,route
6E  226,AMD,IXB,4,AMD-IXB
6E  227,IDR,AMD,6,IDR-AMD
6E  2273,DEL,BLR,7,DEL-BLR
6E  228,AMD,IDR,6,AMD-IDR
6E  2289,BLR,DEL,7,BLR-DEL
6E  229,IXB,AMD,4,IXB-AMD
6E  2297,BLR,CCJ,6,BLR-CCJ
6E  2298,DEL,AMD,7,DEL-AMD
6E  2299,UDR,DEL,7,UDR-DEL
6E  2305,BLR,DEL,7,BLR-DEL
6E  2306,DEL,BLR,1,DEL-BLR
6E  231,HYD,BOM,7,HYD-BOM
6E  2315,DEL,MAA,7,DEL-MAA
6E  232,BLR,PNQ,7,BLR-PNQ
6E  2322,DEL,UDR,7,DEL-UDR
6E  2323,DEL,PAT,7,DEL-PAT
6E  2325,PAT,DEL,7,PAT-DEL
6E  233,BLR,MAA,7,BLR-MAA
6E  234,CJB,BOM,5,CJB-BOM
6E  235,HYD,BOM,7,HYD-BOM
6E  236,IXC,DEL,7,IXC-DEL
6E  237,AMD,JAI,1,AMD-JAI
6E  2376,DEL,BLR,7,DEL-BLR
6E  238,AMD,MAA,1,AMD-MAA
6E  239,BOM,IXM,7,BOM-IXM
6E  2393,DEL,RPR,7,DEL-RPR
6E  2394,MAA,DEL,7,MAA-DEL
6E  2403,DEL,MAA,7,DEL-MAA
6E  2405,BBI,DEL,7,BBI-DEL
6E  2406,DEL,MAA,7,DEL-MAA
6E  2407,DEL,AMD,6,DEL-AMD
6E  2409,RPR,DEL,7,RPR-DEL
6E  241,HYD,PNQ,6,HYD-PNQ
6E  242,HYD,IXR,1,HYD-IXR
6E  2423,BLR,TRZ,1,BLR-TRZ
6E  2424,DEL,LKO,7,DEL-LKO
6E  2425,LKO,DEL,7,LKO-DEL
6E  243,LKO,DEL,7,LKO-DEL
6E  244,AMD,LKO,5,AMD-LKO
6E  245,IDR,GOI,7,IDR-GOI
6E  2454,RPR,DEL,7,RPR-DEL
6E  2458,DEL,BLR,7,DEL-BLR
6E  246,AMD,DEL,6,AMD-DEL
6E  2465,DEL,BLR,6,DEL-BLR
6E  247,HYD,BOM,7,HYD-BOM
6E  248,BOM,DEL,7,BOM-DEL
6E  2484,BLR,DEL,7,BLR-DEL
6E  2486,DEL,SXR,7,DEL-SXR
6E  2487,BLR,DEL,1,BLR-DEL
6E  2488,BDQ,DEL,7,BDQ-DEL
6E  2489,CCU,DEL,7,CCU-DEL
6E  249,JDH,BOM,3,JDH-BOM
6E  251,DEL,GAU,7,DEL-GAU
6E  2512,RPR,DEL,7,RPR-DEL
6E  2519,DEL,MAA,7,DEL-MAA
6E  252,AMD,CJB,6,AMD-CJB
6E  253,MAA,BLR,6,MAA-BLR
6E  254,BOM,IXB,3,BOM-IXB
6E  255,BLR,IXR,1,BLR-IXR
6E  2554,DEL,UDR,4,DEL-UDR
6E  2559,DEL,IXJ,4,DEL-IXJ
6E  256,DEL,GOI,3,DEL-GOI
6E  2562,BLR,DEL,7,BLR-DEL
6E  2563,DEL,BLR,1,DEL-BLR
6E  257,BBI,BOM,7,BBI-BOM
6E  258,BLR,MAA,5,BLR-MAA
6E  2586,DEL,SXR,7,DEL-SXR
6E  2587,SXR,DEL,7,SXR-DEL
6E  2588,MAA,DEL,1,MAA-DEL
6E  259,GOI,HYD,7,GOI-HYD
6E  2591,BDQ,DEL,1,BDQ-DEL
6E  261,DEL,CCU,3,DEL-CCU
6E  2614,DEL,PAT,7,DEL-PAT
6E  2615,AMD,DEL,7,AMD-DEL
6E  262,BLR,HYD,1,BLR-HYD
6E  2622,MAA,DEL,7,MAA-DEL
6E  2624,DEL,BLR,7,DEL-BLR
6E  2625,BLR,DEL,7,BLR-DEL
6E  263,AMD,MAA,7,AMD-MAA
6E  2637,DEL,BLR,7,DEL-BLR
6E  264,IXC,BOM,6,IXC-BOM
6E  265,COK,HYD,7,COK-HYD
6E  2652,MAA,DEL,7,MAA-DEL
6E  266,BLR,HYD,7,BLR-HYD
6E  267,AMD,DEL,7,AMD-DEL
6E  268,DEL,AMD,7,DEL-AMD
6E  2685,MAA,CJB,7,MAA-CJB
6E  269,MAA,HYD,7,MAA-HYD
6E  2698,DEL,BDQ,7,DEL-BDQ
6E  2701,DEL,BBI,6,DEL-BBI
6E  2702,DEL,BDQ,1,DEL-BDQ
6E  271,MAA,BLR,7,MAA-BLR
6E  2716,BLR,DEL,7,BLR-DEL
6E  2719,DEL,VTZ,7,DEL-VTZ
6E  272,BOM,HYD,7,BOM-HYD
6E  2724,PAT,DEL,7,PAT-DEL
6E  2726,VTZ,DEL,7,VTZ-DEL
6E  273,BLR,TRV,1,BLR-TRV
6E  274,IXC,HYD,7,IXC-HYD
6E  2746,DEL,UDR,7,DEL-UDR
6E  275,IXA,CCU,7,IXA-CCU
6E  2752,MAA,DEL,7,MAA-DEL
6E  2757,DEL,RPR,7,DEL-RPR
6E  276,GOI,DEL,7,GOI-DEL
6E  277,IXA,CCU,7,IXA-CCU
6E  2772,VTZ,DEL,7,VTZ-DEL
6E  278,GAU,DEL,7,GAU-DEL
6E  2783,BLR,DEL,7,BLR-DEL
6E  279,BLR,COK,6,BLR-COK
6E  2808,BLR,DEL,7,BLR-DEL
6E  281,BLR,HYD,7,BLR-HYD
6E  282,DEL,CCU,1,DEL-CCU
6E  283,DEL,CCU,7,DEL-CCU
6E  2839,DEL,BLR,7,DEL-BLR
6E  284,DEL,JAI,7,DEL-JAI
6E  2841,DEL,CCU,7,DEL-CCU
6E  2859,MAA,CJB,1,MAA-CJB
6E  286,DEL,PNQ,7,DEL-PNQ
6E  287,BLR,AMD,6,BLR-AMD
6E  288,BLR,VTZ,7,BLR-VTZ
6E  289,IXM,BOM,7,IXM-BOM
6E  2901,DEL,SXR,4,DEL-SXR
6E  2902,SXR,DEL,4,SXR-DEL
6E  2907,MAA,DEL,7,MAA-DEL
6E  291,GAU,BLR,2,GAU-BLR
6E  2912,DEL,RPR,7,DEL-RPR
6E  292,MAA,CCU,7,MAA-CCU
6E  293,BLR,GOI,6,BLR-GOI
6E  294,IXA,CCU,7,IXA-CCU
6E  295,IXE,BOM,7,IXE-BOM
6E  296,BLR,CCU,6,BLR-CCU
6E  297,NAG,BOM,7,NAG-BOM
6E  2977,DEL,BLR,7,DEL-BLR
6E  2978,IMF,DEL,7,IMF-DEL
6E  298,MAA,HYD,6,MAA-HYD
6E  2988,BLR,DEL,7,BLR-DEL
6E  299,HYD,MAA,7,HYD-MAA
6E  302,MAA,HYD,6,MAA-HYD
6E  303,DEL,HYD,7,DEL-HYD
6E  304,COK,HYD,1,COK-HYD
6E  305,HYD,VTZ,7,HYD-VTZ
6E  306,LKO,DEL,7,LKO-DEL
6E  307,DEL,CCU,7,DEL-CCU
6E  308,HYD,DEL,7,HYD-DEL
6E  309,BBI,HYD,7,BBI-HYD
6E  3101,DEL,JDH,7,DEL-JDH
6E  3102,JDH,DEL,7,JDH-DEL
6E  311,MAA,PNQ,6,MAA-PNQ
6E  312,BLR,NAG,6,BLR-NAG
6E  313,AMD,BOM,7,AMD-BOM
6E  314,AMD,BBI,7,AMD-BBI
6E  315,DEL,COK,7,DEL-COK
6E  316,IXA,GAU,7,IXA-GAU
6E  317,BLR,CJB,6,BLR-CJB
6E  318,BBI,AMD,1,BBI-AMD
6E  3184,HYD,UDR,1,HYD-UDR
6E  3185,UDR,HYD,7,UDR-HYD
6E  3188,BOM,RPR,1,BOM-RPR
6E  3189,UDR,BOM,1,UDR-BOM
6E  319,MAA,TRV,7,MAA-TRV
6E  3201,BOM,GOI,2,BOM-GOI
6E  3202,GOI,BOM,2,GOI-BOM
6E  321,BLR,COK,7,BLR-COK
6E  322,COK,BLR,7,COK-BLR
6E  323,BOM,CCU,7,BOM-CCU
6E  324,HYD,VTZ,7,HYD-VTZ
6E  325,LKO,BLR,5,LKO-BLR
6E  326,VTZ,HYD,7,VTZ-HYD
