id,origin,destination,departure,arrival,AircraftCode,Aircraft
AI 850,PNQ,DEL,18:40 IST,21:10 IST,32N,Airbus A320neo
AI 545,MAA,HYD,16:10 IST,17:25 IST,32N,Airbus A320neo
AI 774,BOM,CCU,21:35 IST,00:20 IST,32N,Airbus A320neo
AI 632,AMD,BOM,17:35 IST,19:05 IST,321,Airbus A321
AI 812,LKO,DEL,20:45 IST,21:55 IST,32N,Airbus A320neo
AI 479,DEL,ATQ,21:15 IST,22:30 IST,32N,Airbus A320neo
AI 609,BOM,CJB,06:30 IST,08:25 IST,32N,Airbus A320neo
AI 502,DEL,BLR,13:30 IST,16:25 IST,32N,Airbus A320neo
AI 538,MAA,DEL,20:40 IST,23:25 IST,77W,Boeing 777-300ER
AI 546,HYD,MAA,05:35 IST,07:10 IST,32N,Airbus A320neo
AI 540,DEL,MAA,20:45 IST,23:35 IST,32N,Airbus A320neo
AI 480,ATQ,DEL,23:00 IST,00:10 IST,32N,Airbus A320neo
AI 507,BLR,DEL,12:30 IST,15:20 IST,359,Airbus A350-900
AI 611,BOM,JAI,11:00 IST,12:50 IST,32N,Airbus A320neo
AI 612,JAI,BOM,13:35 IST,15:25 IST,32N,Airbus A320neo
AI 645,BOM,JDH,09:15 IST,11:05 IST,32N,Airbus A320neo
AI 646,JDH,BOM,11:45 IST,13:30 IST,32N,Airbus A320neo
AI 652,HYD,BOM,17:05 IST,18:35 IST,32N,Airbus A320neo
AI 653,BOM,VTZ,13:10 IST,15:15 IST,321,Airbus A321
AI 693,BOM,COK,19:05 IST,21:00 IST,32N,Airbus A320neo
AI 532,AMD,DEL,22:05 IST,23:45 IST,32Q,Airbus A321neo
AI 819,DEL,BDQ,18:35 IST,20:20 IST,321,Airbus A321
AI 820,BDQ,DEL,20:50 IST,22:35 IST,321,Airbus A321
AI 683,BOM,GOI,21:00 IST,22:00 IST,32N,Airbus A320neo
AI 684,GOI,BOM,07:05 IST,08:15 IST,321,Airbus A321
AI 518,BOM,COK,23:55 IST,01:55 IST,32N,Airbus A320neo
AI 852,PNQ,DEL,07:40 IST,10:00 IST,32Q,Airbus A321neo
SG 2937,DEL,DHM,07:50 IST,09:15 IST,DH4,De Havilland (Bombardier) DHC-8-400 Dash 8Q
SG 185,DEL,PNQ,09:35 IST,11:45 IST,73H,Boeing 737-800 (winglets) Passenger/BBJ2
SG 962,DEL,PNQ,00:25 IST,02:40 IST,73W,Boeing 737-700 (winglets) Passenger/BBJ1
SG 2938,DHM,DEL,09:35 IST,10:55 IST,DH4,De Havilland (Bombardier) DHC-8-400 Dash 8Q
SG 903,DEL,IXB,05:40 IST,07:35 IST,73J,Boeing 737-900 (winglets) Passenger/BBJ3
SG 8477,DBR,DEL,13:30 IST,15:25 IST,73J,Boeing 737-900 (winglets) Passenger/BBJ3
SG 472,PAT,DEL,21:35 IST,23:45 IST,73W,Boeing 737-700 (winglets) Passenger/BBJ1
SG 121,DEL,IXL,06:10 IST,07:25 IST,73W,Boeing 737-700 (winglets) Passenger/BBJ1
SG 1079,PNQ,BHU,07:55 IST,09:05 IST,DH4,De Havilland (Bombardier) DHC-8-400 Dash 8Q
SG 2696,HYD,TIR,06:20 IST,07:35 IST,DH4,De Havilland (Bombardier) DHC-8-400 Dash 8Q
SG 8125,DEL,IXL,08:45 IST,10:10 IST,73W,Boeing 737-700 (winglets) Passenger/BBJ1
SG 371,IXL,DEL,06:50 IST,08:05 IST,73W,Boeing 737-700 (winglets) Passenger/BBJ1
SG 1080,BHU,PNQ,17:55 IST,18:45 IST,DH4,De Havilland (Bombardier) DHC-8-400 Dash 8Q
6E 833,CCU,MAA,11:30 IST,13:40 IST,32Q,Airbus A321neo
6E 362,HYD,GOI,11:20 IST,12:30 IST,32A,Airbus A320 (sharklets)
6E 996,AMD,BLR,23:55 IST,02:10 IST,32N,Airbus A320neo
6E 6799,IXR,BLR,08:25 IST,10:50 IST,32N,Airbus A320neo
6E 6055,PNQ,BLR,18:55 IST,20:15 IST,32Q,Airbus A321neo
6E 6414,VNS,AMD,19:55 IST,22:00 IST,32N,Airbus A320neo
6E 6683,VNS,HYD,22:20 IST,00:20 IST,32Q,Airbus A321neo
6E 962,IDR,DEL,07:05 IST,08:30 IST,32Q,Airbus A321neo
6E 2258,DEL,LKO,17:30 IST,18:40 IST,320,Airbus A320
6E 2045,DEL,ATQ,20:20 IST,21:30 IST,32Q,Airbus A321neo
6E 947,GOX,CCU,09:10 IST,12:00 IST,32N,Airbus A320neo
6E 544,BOM,LKO,19:15 IST,21:20 IST,32N,Airbus A320neo
6E 125,BLR,JRG,10:25 IST,12:35 IST,320,Airbus A320
6E 751,CCU,IXB,12:40 IST,13:45 IST,32N,Airbus A320neo
6E 935,AMD,LKO,16:00 IST,17:50 IST,32N,Airbus A320neo
6E 5363,DEL,AJL,12:00 IST,14:40 IST,32N,Airbus A320neo
6E 5026,IXM,BOM,16:20 IST,18:35 IST,321,Airbus A321
6E 152,BLR,CCJ,19:55 IST,21:05 IST,32N,Airbus A320neo
6E 2057,DEL,CCU,18:05 IST,20:30 IST,320,Airbus A320
6E 2167,PAT,BOM,15:40 IST,18:15 IST,320,Airbus A320
6E 7347,TRZ,MAA,12:35 IST,13:45 IST,AT7,ATR 72
6E 5347,RPR,DEL,21:20 IST,23:05 IST,32N,Airbus A320neo
6E 5061,ATQ,DEL,14:00 IST,15:15 IST,321,Airbus A321
6E 7223,IXM,BLR,11:40 IST,13:05 IST,AT7,ATR 72
6E 6004,CCU,DEL,08:15 IST,10:25 IST,32Q,Airbus A321neo
6E 2305,SXR,DEL,14:40 IST,16:10 IST,32Q,Airbus A321neo
6E 2625,DEL,CCU,09:55 IST,12:05 IST,32Q,Airbus A321neo
6E 2716,DEL,BOM,01:45 IST,04:00 IST,32A,Airbus A320 (sharklets)
6E 5032,BOM,BLR,19:15 IST,21:05 IST,32Q,Airbus A321neo
6E 5009,DEL,HYD,12:20 IST,14:30 IST,32Q,Airbus A321neo
6E 537,HYD,DBR,12:20 IST,14:25 IST,32N,Airbus A320neo
6E 638,BLR,HYD,18:25 IST,19:35 IST,32Q,Airbus A321neo
6E 684,BLR,HYD,22:30 IST,23:40 IST,32Q,Airbus A321neo
6E 855,BLR,HYD,19:40 IST,20:50 IST,32N,Airbus A320neo
6E 6139,CCU,LKO,05:15 IST,07:05 IST,32N,Airbus A320neo
6E 6159,GAU,CCU,18:00 IST,19:15 IST,320,Airbus A320
6E 7684,IXM,MAA,16:00 IST,17:30 IST,AT7,ATR 72
6E 691,TRV,BLR,20:55 IST,22:10 IST,32A,Airbus A320 (sharklets)
6E 702,BLR,BBI,07:35 IST,09:40 IST,32N,Airbus A320neo
6E 838,BLR,JAI,20:00 IST,22:25 IST,32Q,Airbus A321neo
6E 481,AMD,BLR,19:20 IST,21:40 IST,32Q,Airbus A321neo
6E 7138,JAI,AMD,22:45 IST,00:20 IST,AT7,ATR 72
6E 321,MAA,CCU,08:30 IST,10:50 IST,32Q,Airbus A321neo
