id,origin,destination,departure,arrival,AircraftCode,Aircraft
6E 7345,IXE,MAA,07:55 IST,09:40 IST,AT7,ATR 72
6E 885,RPR,GOI,18:45 IST,20:40 IST,32N,Airbus A320neo
6E 6797,MAA,STV,08:20 IST,10:35 IST,32A,Airbus A320 (sharklets)
6E 6539,AMD,MAA,16:15 IST,18:30 IST,32Q,Airbus A321neo
6E 7311,HYD,RJA,13:35 IST,14:55 IST,AT7,ATR 72
6E 6798,PNQ,NAG,00:20 IST,01:45 IST,32N,Airbus A320neo
6E 7346,MAA,IXE,05:40 IST,07:35 IST,AT7,ATR 72
6E 618,BOM,BDQ,19:30 IST,20:30 IST,32A,Airbus A320 (sharklets)
6E 6417,DBR,HYD,14:55 IST,17:05 IST,32N,Airbus A320neo
6E 6158,MAA,HYD,15:45 IST,16:50 IST,32Q,Airbus A321neo
6E 146,LKO,GAU,09:05 IST,10:50 IST,32N,Airbus A320neo
6E 922,HYD,BBI,20:50 IST,22:20 IST,32N,Airbus A320neo
6E 6116,JAI,PNQ,21:10 IST,22:50 IST,32N,Airbus A320neo
6E 6007,HYD,MAA,00:15 IST,01:25 IST,32A,Airbus A320 (sharklets)
6E 6109,IXJ,AMD,10:40 IST,12:35 IST,32N,Airbus A320neo
6E 7274,JAI,DED,09:05 IST,10:35 IST,AT7,ATR 72
6E 6008,LKO,DEL,13:35 IST,14:40 IST,32N,Airbus A320neo
6E 606,MAA,CCU,18:00 IST,20:20 IST,32Q,Airbus A321neo
6E 308,DEL,BLR,07:55 IST,10:45 IST,32Q,Airbus A321neo
6E 564,BOM,HYD,04:35 IST,05:55 IST,32Q,Airbus A321neo
6E 6966,GAU,CCU,19:50 IST,21:05 IST,32N,Airbus A320neo
6E 845,MAA,IXZ,11:00 IST,13:20 IST,32A,Airbus A320 (sharklets)
6E 2165,JAI,DEL,07:25 IST,08:15 IST,32Q,Airbus A321neo
6E 348,AMD,MAA,20:50 IST,23:10 IST,32A,Airbus A320 (sharklets)
6E 6638,HYD,JAI,20:15 IST,22:00 IST,320,Airbus A320
6E 7169,NAG,AMD,20:30 IST,22:35 IST,AT7,ATR 72
6E 7225,HYD,CNN,07:05 IST,09:10 IST,AT7,ATR 72
6E 7152,HYD,VGA,13:05 IST,14:10 IST,ATR,ATR 42 / ATR 72
6E 7156,DEL,PGH,08:20 IST,09:20 IST,AT7,ATR 72
6E 7103,HYD,IXE,19:05 IST,20:40 IST,ATR,ATR 42 / ATR 72
6E 235,CCU,BLR,11:40 IST,14:20 IST,32Q,Airbus A321neo
6E 5376,BLR,BOM,19:15 IST,21:05 IST,32Q,Airbus A321neo
6E 5359,BLR,DEL,18:00 IST,20:50 IST,32Q,Airbus A321neo
6E 6276,PAT,BLR,18:40 IST,21:10 IST,32N,Airbus A320neo
6E 366,GOI,PNQ,13:00 IST,13:55 IST,32A,Airbus A320 (sharklets)
6E 6467,HYD,RPR,09:30 IST,10:50 IST,32N,Airbus A320neo
6E 7249,RPR,HYD,20:55 IST,22:40 IST,AT7,ATR 72
6E 7247,AMD,NAG,17:45 IST,19:55 IST,ATR,ATR 42 / ATR 72
6E 695,HYD,COK,23:00 IST,00:35 IST,32N,Airbus A320neo
6E 7105,JGB,HYD,13:00 IST,14:35 IST,AT7,ATR 72
6E 915,HYD,VNS,09:45 IST,11:40 IST,32N,Airbus A320neo
6E 7167,MAA,IXM,06:55 IST,08:15 IST,AT7,ATR 72
6E 7211,HYD,VGA,10:05 IST,11:10 IST,ATR,ATR 42 / ATR 72
6E 611,BBI,BLR,19:30 IST,21:15 IST,32N,Airbus A320neo
6E 626,HYD,VTZ,14:45 IST,15:50 IST,32N,Airbus A320neo
6E 7283,HYD,VGA,20:05 IST,21:20 IST,AT7,ATR 72
6E 703,BLR,COK,12:45 IST,13:50 IST,32N,Airbus A320neo
6E 5039,HYD,BOM,19:00 IST,20:35 IST,32Q,Airbus A321neo
6E 6305,HYD,IXZ,06:15 IST,09:00 IST,32N,Airbus A320neo
6E 5306,BLR,IXE,05:10 IST,06:05 IST,32N,Airbus A320neo
6E 5387,DEL,MAA,22:45 IST,01:35 IST,32Q,Airbus A321neo
6E 169,MAA,COK,19:10 IST,20:20 IST,32N,Airbus A320neo
6E 5381,HYD,TRV,20:10 IST,21:50 IST,32Q,Airbus A321neo
6E 839,JAI,BLR,05:25 IST,07:50 IST,32Q,Airbus A321neo
6E 569,DED,AMD,08:30 IST,10:05 IST,32N,Airbus A320neo
6E 6606,TIR,HYD,13:00 IST,14:00 IST,32Q,Airbus A321neo
6E 6155,DMU,CCU,11:25 IST,12:45 IST,32N,Airbus A320neo
6E 5343,DEL,JAI,05:55 IST,06:55 IST,32Q,Airbus A321neo
6E 2074,PAT,DEL,12:15 IST,14:00 IST,32N,Airbus A320neo
6E 2172,DEL,BHO,15:05 IST,16:30 IST,320,Airbus A320
6E 5304,MAA,BOM,09:35 IST,11:30 IST,32Q,Airbus A321neo
6E 249,GOI,BLR,08:15 IST,09:25 IST,32Q,Airbus A321neo
6E 7168,IDR,AMD,19:30 IST,20:35 IST,AT7,ATR 72
6E 7253,IXM,MAA,20:45 IST,22:20 IST,AT7,ATR 72
6E 543,IXJ,DEL,13:50 IST,15:15 IST,32Q,Airbus A321neo
6E 682,BLR,BOM,05:15 IST,06:50 IST,32Q,Airbus A321neo
6E 322,CJB,GOX,08:30 IST,09:45 IST,32N,Airbus A320neo
6E 612,BOM,MAA,12:00 IST,13:55 IST,32Q,Airbus A321neo
6E 2047,AMD,DEL,15:50 IST,17:25 IST,320,Airbus A320
6E 5395,BOM,CCU,12:50 IST,15:45 IST,32Q,Airbus A321neo
6E 798,CCU,IDR,18:30 IST,20:40 IST,32Q,Airbus A321neo
6E 102,BOM,DEL,21:15 IST,23:25 IST,32Q,Airbus A321neo
6E 442,BLR,CCU,08:25 IST,10:55 IST,32Q,Airbus A321neo
6E 133,PNQ,JDH,11:45 IST,13:25 IST,320,Airbus A320
6E 775,PAT,CCU,15:50 IST,16:45 IST,32A,Airbus A320 (sharklets)
6E 563,CCU,MAA,08:45 IST,11:10 IST,32Q,Airbus A321neo
6E 2016,DEL,ATQ,12:20 IST,13:30 IST,321,Airbus A321
6E 573,CCU,BLR,22:00 IST,00:30 IST,320,Airbus A320
6E 7309,GAU,CCU,15:30 IST,17:15 IST,AT7,ATR 72
6E 6623,CCU,HYD,05:20 IST,07:25 IST,32Q,Airbus A321neo
6E 6134,CCU,IXB,16:45 IST,17:50 IST,320,Airbus A320
6E 6154,CCU,HYD,20:45 IST,23:00 IST,32Q,Airbus A321neo
6E 6176,BLR,GOI,05:05 IST,06:10 IST,32A,Airbus A320 (sharklets)
6E 961,CCU,AMD,21:25 IST,00:05 IST,32N,Airbus A320neo
6E 663,PAT,CCU,09:10 IST,10:15 IST,32A,Airbus A320 (sharklets)
6E 6527,GOX,BLR,09:50 IST,11:00 IST,32N,Airbus A320neo
6E 746,GAU,PNQ,23:15 IST,02:10 IST,32N,Airbus A320neo
6E 794,AMD,PNQ,20:50 IST,22:00 IST,32N,Airbus A320neo
6E 862,CCU,NAG,20:40 IST,22:30 IST,32N,Airbus A320neo
6E 7264,TCR,MAA,12:20 IST,13:50 IST,AT7,ATR 72
6E 7268,TRZ,MAA,14:30 IST,15:40 IST,AT7,ATR 72
6E 6956,AJL,CCU,10:20 IST,11:20 IST,32N,Airbus A320neo
6E 7128,VGA,VTZ,09:00 IST,10:00 IST,AT7,ATR 72
6E 7131,AMD,JAI,20:40 IST,22:20 IST,AT7,ATR 72
6E 7165,BLR,TRZ,19:05 IST,20:25 IST,AT7,ATR 72
6E 142,LKO,AMD,06:30 IST,08:15 IST,32N,Airbus A320neo
6E 6423,BLR,AMD,21:05 IST,23:10 IST,32N,Airbus A320neo
6E 2425,DEL,PAT,14:20 IST,16:00 IST,32N,Airbus A320neo
6E 243,HYD,MAA,07:05 IST,08:10 IST,32Q,Airbus A321neo
6E 588,MAA,GOI,17:45 IST,19:20 IST,32N,Airbus A320neo
6E 365,MAA,BLR,18:15 IST,19:05 IST,32Q,Airbus A321neo
6E 6244,AMD,LKO,08:55 IST,10:40 IST,32N,Airbus A320neo
6E 685,MAA,BOM,16:45 IST,18:45 IST,32Q,Airbus A321neo
6E 835,NAG,PNQ,23:00 IST,00:10 IST,32N,Airbus A320neo
6E 7219,ISK,AMD,10:45 IST,12:10 IST,AT7,ATR 72
6E 7194,IXM,MAA,07:45 IST,09:10 IST,AT7,ATR 72
6E 7212,IXE,MAA,21:30 IST,23:05 IST,AT7,ATR 72
6E 7157,PGH,DEL,12:30 IST,13:30 IST,AT7,ATR 72
6E 289,HYD,MAA,06:05 IST,07:10 IST,32Q,Airbus A321neo
6E 7164,IXE,HYD,08:30 IST,10:20 IST,AT7,ATR 72
6E 215,IXJ,BOM,17:35 IST,20:15 IST,321,Airbus A321
6E 5362,DEL,SXR,12:45 IST,14:10 IST,32Q,Airbus A321neo
6E 5332,DEL,BLR,15:40 IST,18:30 IST,32Q,Airbus A321neo
6E 715,JAI,STV,14:25 IST,15:55 IST,32N,Airbus A320neo
